,Surface,E0,Ebare,Eco,Eads,Iter,Method
69,Pd_Zr2CS2,-393.24,-377.33,-14.78,-1.13,3,Explore
70,Y_Zr2CS2,-397.56,-382.13,-14.78,-0.65,4,Exploit
71,Y_Zr3C2O2,-635.09,-619.59,-14.78,-0.72,4,Exploit
72,Y_Zr4C3O2,-815.48,-800,-14.78,-0.7,4,Exploit
73,Sc_Ti3C2O2,-607.4,-591.91,-14.78,-0.71,4,Exploit
74,Sc_Zr3C2S2,-577.02,-561.49,-14.78,-0.75,4,Exploit
75,Pt_Hf3C2O2,-676.06,-657.91,-14.78,-3.37,4,Explore
76,Sc_Hf2CO2,-483.7,-467.87,-14.78,-1.06,4,Explore
77,Sc_Zr2CO2,-454.64,-438.93,-14.78,-0.93,4,Explore
78,Sc_Ti2CO2,-434.55,-419.02,-14.78,-0.75,4,Explore
79,Sc_Hf3C2O2,-678.01,-662.3,-14.78,-0.93,4,Explore
80,Y_Ti3C2O2,-607.7,-592.31,-14.78,-0.61,5,Exploit
81,Y_Ti2CO2,-434.86,-419.41,-14.78,-0.67,5,Exploit
82,Sc_Zr2CS2,-397.2,-381.66,-14.78,-0.76,5,Exploit
83,Sc_Zr3C2O2,-634.78,-619.2,-14.78,-0.80,5,Exploit
84,Fe_Zr4C3S2,-756.23,-740.3,-14.78,-1.15,5,Exploit
85,Y_Zr2CO2,-454.92,-439.28,-14.78,-0.86,5,Exploit
86,Sc_Zr4C3S2,-757.06,-741.54,-14.78,-0.74,5,Exploit
87,Sc_Hf2CS2,-424.06,-408.51,-14.78,-0.78,5,Exploit
88,Y_Hf4C3S2,-812.46,-797.03,-14.78,-0.64,5,Exploit
89,Y_Ti4C3O2,-781.51,-766.14,-14.78,-0.6,5,Exploit
90,Y_Zr3C2S2,-577.38,-561.96,-14.78,-0.63,6,Exploit
91,Sc_Ti4C3O2,-781.19,-765.70,-14.78,-0.71,6,Exploit
92,Y_Hf3C2S2,-618.28,-602.85,-14.78,-0.65,6,Exploit
93,Y_Ti2CS2,-377.49,-362.04,-14.78,-0.67,6,Exploit
94,Y_Zr4C3S2,-757.40,-741.99,-14.78,-0.63,6,Exploit
95,Y_Ti3C2S2,-550.40,-534.95,-14.78,-0.66,6,Exploit
96,Y_Hf3C2O2,-678.33,-662.70,-14.78,-0.85,6,Exploit
97,Sc_Hf4C3S2,-812.14,-796.60,-14.78,-0.76,6,Exploit
98,Ti_Zr2CO2,-455.12,-439.12,-14.78,-1.22,6,Exploit
99,Y_Hf4C3O2,-872.87,-857.29,-14.78,-0.80,6,Exploit
