,Surface,E0
266,Pt_Zr3C2O2,-614.04755
267,Pt_Zr3C2S2,-557.41097
268,Pt_Zr4C3O2,-794.40579
269,Pt_Zr4C3S2,-737.46804
270,Re_Hf2CO2,-468.27313
271,Re_Hf2CS2,-409.37982
272,Re_Hf3C2O2,-660.7322
273,Re_Hf3C2S2,-603.14771
274,Re_Hf4C3O2,-856.14051
275,Re_Hf4C3S2,-797.36191
276,Re_Ti2CO2,-418.26436
277,Re_Ti2CS2,-362.55569
278,Re_Ti3C2O2,-590.873
279,Re_Ti3C2S2,-535.45794
280,Re_Ti4C3O2,-764.44039
281,Re_Ti4C3S2,-708.74572
282,Re_Zr2CO2,-438.9624
283,Re_Zr2CS2,-382.56692
284,Re_Zr3C2O2,-618.58775
285,Re_Zr3C2S2,-562.25159
286,Re_Zr4C3O2,-798.79329
287,Re_Zr4C3S2,-742.36223
288,Rh_Hf2CO2,-465.93696
289,Rh_Hf2CS2,-406.04005
290,Rh_Hf3C2O2,-659.12964
291,Rh_Hf3C2S2,-599.63651
292,Rh_Hf4C3O2,-853.48065
293,Rh_Hf4C3S2,-793.82325
294,Rh_Ti2CO2,-414.68756
295,Rh_Ti2CS2,-359.05362
296,Rh_Ti3C2O2,-587.12407
297,Rh_Ti3C2S2,-531.93729
298,Rh_Ti4C3O2,-760.74246
299,Rh_Ti4C3S2,-705.23494
300,Rh_Zr2CO2,-436.44593
301,Rh_Zr2CS2,-379.11725
302,Rh_Zr3C2O2,-615.59161
303,Rh_Zr3C2S2,-558.69108
304,Rh_Zr4C3O2,-795.80512
305,Rh_Zr4C3S2,-738.74
306,Ru_Hf2CO2,-467.24169
307,Ru_Hf2CS2,-407.35433
308,Ru_Hf3C2O2,-660.53
309,Ru_Hf3C2S2,-600.96745
310,Ru_Hf4C3O2,-854.66144
311,Ru_Hf4C3S2,-795.17249
312,Ru_Ti2CO2,-416.39023
313,Ru_Ti2CS2,-360.55617
314,Ru_Ti3C2O2,-588.64454
315,Ru_Ti3C2S2,-533.30555
316,Ru_Ti4C3O2,-762.21888
317,Ru_Ti4C3S2,-706.79474
318,Ru_Zr2CO2,-437.868
319,Ru_Zr2CS2,-380.47997
320,Ru_Zr3C2O2,-616.95106
321,Ru_Zr3C2S2,-560.05733
322,Ru_Zr4C3O2,-797.04745
323,Ru_Zr4C3S2,-740.1198
324,Sc_Hf2CO2,-467.86708
325,Sc_Hf2CS2,-408.50634
326,Sc_Hf3C2O2,-662.29723
327,Sc_Hf3C2S2,-602.40765
328,Sc_Hf4C3O2,-856.86328
329,Sc_Hf4C3S2,-796.60222
330,Sc_Ti2CO2,-419.02109
331,Sc_Ti2CS2,-361.66807
332,Sc_Ti3C2O2,-591.90617
333,Sc_Ti3C2S2,-534.59002
334,Sc_Ti4C3O2,-765.69836
335,Sc_Ti4C3S2,-707.86368
336,Sc_Zr2CO2,-438.92975
337,Sc_Zr2CS2,-381.66054
338,Sc_Zr3C2O2,-619.19568
339,Sc_Zr3C2S2,-561.49141
340,Sc_Zr4C3O2,-799.58462
341,Sc_Zr4C3S2,-741.53668
342,Ta_Hf2CO2,-469.64489
343,Ta_Hf2CS2,-410.50035
344,Ta_Hf3C2O2,-663.77357
345,Ta_Hf3C2S2,-604.33837
346,Ta_Hf4C3O2,-858.25979
347,Ta_Hf4C3S2,-798.51319
348,Ta_Ti2CO2,-420.75853
349,Ta_Ti2CS2,-363.64692
350,Ta_Ti3C2O2,-593.67084
351,Ta_Ti3C2S2,-536.63542
352,Ta_Ti4C3O2,-767.35087
353,Ta_Ti4C3S2,-709.84379
354,Ta_Zr2CO2,-440.82964
355,Ta_Zr2CS2,-383.77454
356,Ta_Zr3C2O2,-620.90704
357,Ta_Zr3C2S2,-563.45836
358,Ta_Zr4C3O2,-801.22169
359,Ta_Zr4C3S2,-743.59455
360,Ti_Hf2CO2,-468.16032
361,Ti_Hf2CS2,-408.67415
362,Ti_Hf3C2O2,-662.30114
363,Ti_Hf3C2S2,-602.53183
364,Ti_Hf4C3O2,-856.81242
365,Ti_Hf4C3S2,-796.70637
366,Ti_Ti2CO2,-419.10351
367,Ti_Ti2CS2,-361.96466
368,Ti_Ti3C2O2,-591.9567
369,Ti_Ti3C2S2,-534.90777
370,Ti_Ti4C3O2,-765.6495
371,Ti_Ti4C3S2,-708.15331
372,Ti_Zr2CO2,-439.11662
373,Ti_Zr2CS2,-381.84796
374,Ti_Zr3C2O2,-619.24015
375,Ti_Zr3C2S2,-561.62157
376,Ti_Zr4C3O2,-799.58371
377,Ti_Zr4C3S2,-741.67577
378,V_Hf2CO2,-468.18991
379,V_Hf2CS2,-408.6659
380,V_Hf3C2O2,-662.29808
381,V_Hf3C2S2,-602.45714
382,V_Hf4C3O2,-856.77556
383,V_Hf4C3S2,-796.63657
384,V_Ti2CO2,-418.81401
385,V_Ti2CS2,-361.68749
386,V_Ti3C2O2,-591.50282
387,V_Ti3C2S2,-534.80882
388,V_Ti4C3O2,-765.18638
389,V_Ti4C3S2,-708.06962
390,V_Zr2CO2,-439.11723
391,V_Zr2CS2,-381.78147
392,V_Zr3C2O2,-619.02547
393,V_Zr3C2S2,-561.52073
394,V_Zr4C3O2,-799.34306
395,V_Zr4C3S2,-741.57413
396,W_Hf2CO2,-469.54938
397,W_Hf2CS2,-410.21301
398,W_Hf3C2O2,-662.94426
399,W_Hf3C2S2,-603.93524
400,W_Hf4C3O2,-857.28223
401,W_Hf4C3S2,-798.12259
402,W_Ti2CO2,-420.02809
403,W_Ti2CS2,-363.38702
404,W_Ti3C2O2,-592.5316
405,W_Ti3C2S2,-536.29392
406,W_Ti4C3O2,-766.10507
407,W_Ti4C3S2,-709.52577
408,W_Zr2CO2,-440.53961
409,W_Zr2CS2,-383.44513
410,W_Zr3C2O2,-619.90682
411,W_Zr3C2S2,-563.11732
412,W_Zr4C3O2,-800.11641
413,W_Zr4C3S2,-743.18458
414,Y_Hf2CO2,-468.17965
415,Y_Hf2CS2,-408.94979
416,Y_Hf3C2O2,-662.69902
417,Y_Hf3C2S2,-602.8478
418,Y_Hf4C3O2,-857.2906
419,Y_Hf4C3S2,-797.03293
420,Y_Ti2CO2,-419.40933
421,Y_Ti2CS2,-362.04149
422,Y_Ti3C2O2,-592.31169
423,Y_Ti3C2S2,-534.95224
424,Y_Ti4C3O2,-766.13565
425,Y_Ti4C3S2,-708.24219
426,Y_Zr2CO2,-439.28067
427,Y_Zr2CS2,-382.13071
428,Y_Zr3C2O2,-619.59448
429,Y_Zr3C2S2,-561.96372
430,Y_Zr4C3O2,-799.9992
431,Y_Zr4C3S2,-741.99404
432,Zr_Hf2CO2,-468.62995
433,Zr_Hf2CS2,-409.48073
434,Zr_Hf3C2O2,-662.9682
435,Zr_Hf3C2S2,-603.33636
436,Zr_Hf4C3O2,-857.4905
437,Zr_Hf4C3S2,-797.50116
438,Zr_Ti2CO2,-419.86256
439,Zr_Ti2CS2,-362.75723
440,Zr_Ti3C2O2,-592.80728
441,Zr_Ti3C2S2,-535.69676
442,Zr_Ti4C3O2,-766.49466
443,Zr_Ti4C3S2,-708.93546
444,Zr_Zr2CO2,-439.77596
445,Zr_Zr2CS2,-382.74681
446,Zr_Zr3C2O2,-619.98472
447,Zr_Zr3C2S2,-562.5514
448,Zr_Zr4C3O2,-800.32891
449,Zr_Zr4C3S2,-742.57949
